Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Afghanistan, I.R. of","7,485.19","8,884.52","12,225.43","9,569.76","8,409.01","8,573.68","8,112.81","7,039.81","7,522.05","8,179.39"
Albania,"4,030.72","4,007.59","4,603.45","4,501.30","4,510.09","4,743.39","4,164.50","4,505.19","4,992.83","5,678.36"
Algeria,"36,392.69","38,465.31","44,544.30","50,176.77","53,206.80","56,448.72","47,664.96","48,190.34","45,709.77","48,988.46"
American Samoa,126.32,92.59,234.58,241,256.82,226.78,174.87,226.84,141.51,172.73
Angola,"18,658.56","16,180.55","18,426.72","21,626.31","24,175.93","27,961.41","18,117.87","11,581.62","12,152.67","11,043.23"
Anguilla,73.51,32.96,28.01,31.32,89.14,38.67,33.32,44.15,98.74,150.77
Antigua and Barbuda,"1,528.91","1,891.60","1,925.94","2,052.67","1,609.27","1,328.96","1,441.67","1,016.93","1,112.07","1,238.17"
Argentina,"36,166.97","53,418.85","68,523.55","62,480.89","69,091.13","58,708.12","54,200.84","51,028.85","62,242.85","59,948.65"
Armenia,"1,939.90","2,240.25","2,511.29","3,051.90","3,277.42","3,400.07","2,638.89","2,455.49","3,109.82","3,749.04"
Aruba,"1,656.21","1,231.73","3,734.05","3,107.93","3,706.43","4,154.32","2,812.78","1,959.96","2,011.89","1,584.25"
Australia,"146,354.74","177,684.00","215,984.35","229,835.19","218,639.71","213,589.43","192,061.26","181,740.39","206,279.61","216,916.27"
Austria,"131,854.80","149,840.17","177,192.34","167,751.07","171,238.00","171,287.28","148,979.15","151,104.27","167,325.46","183,610.09"
"Azerbaijan, Rep. of","7,628.22","9,604.86","12,034.11","14,443.40","16,246.48","15,867.46","11,356.70","7,692.23","8,146.55","10,301.18"
"Bahamas, The","10,198.30","10,993.38","11,760.56","11,228.06","9,609.21","10,844.00","9,533.67","7,229.19","8,977.50","9,509.86"
"Bahrain, Kingdom of","11,793.07","15,457.32","19,463.63","22,381.88","21,871.05","21,537.96","16,402.87","14,128.62","15,785.83","19,694.97"
Bangladesh,"20,042.50","28,132.97","35,604.02","33,957.87","37,638.32","43,257.42","42,984.53","44,025.12","51,247.26","58,351.58"
Barbados,"1,279.59","1,758.61","2,213.15","1,378.17","1,832.72","1,675.74","1,601.70","1,360.76","1,607.91","1,511.97"
Belarus,"9,384.53","13,929.37","26,223.94","39,791.51","36,014.98","34,446.62","24,349.27","23,142.15","28,676.35","33,337.31"
Belgium,"326,621.62","369,646.24","438,497.45","412,683.95","422,161.85","430,228.55","360,222.45","355,731.41","382,730.01","421,581.33"
Belgium-Luxembourg,20.08,20.68,34.63,37.48,26.45,25.59,"2,127.90",0,0,0
Belize,645.97,702.09,977.71,"1,343.01","1,204.36","1,067.43",975.33,957.66,"1,029.12","1,010.22"
Benin,"5,545.14","6,582.78","9,856.81","6,643.56","7,882.88","8,610.59","6,885.28","5,224.93","5,206.19","5,730.04"
Bermuda,"2,469.26","3,991.72","3,737.34","2,849.69","2,855.08","3,416.37","3,880.54","3,050.79","2,107.77","1,633.28"
Bhutan,166.51,262.39,340.09,362.27,381.59,369.86,544.59,498.06,481.28,773.78
Bolivia,"4,372.59","5,107.95","7,011.45","7,092.75","8,177.76","8,771.04","7,407.74","7,542.40","7,413.19","7,264.61"
Bosnia and Herzegovina,"7,180.72","7,543.63","9,057.90","8,561.67","8,915.11","9,540.17","7,703.15","7,869.02","8,962.45","9,855.09"
Botswana,"1,054.56","5,561.82","6,487.15","7,585.94","7,657.00","7,285.27","6,616.02","5,651.50","5,556.65","5,969.41"
Brazil,"130,722.11","187,400.46","232,654.07","236,077.91","241,142.32","230,431.79","167,415.96","143,876.72","166,498.52","185,635.19"
Brunei Darussalam,"2,310.32","2,901.47","5,842.01","5,896.67","7,754.89","6,569.22","5,551.18","3,356.00","2,800.54","4,601.61"
Bulgaria,"21,054.79","24,218.20","30,647.53","31,275.34","30,804.37","31,921.46","28,402.43","29,655.69","34,867.86","38,360.58"
Burkina Faso,"1,653.88","1,524.81","2,357.81","2,490.89","3,014.92","2,658.03","2,721.45","2,515.27","3,056.51","3,007.47"
Burundi,344.68,428.1,440.95,493.32,471.94,516.5,440.27,442.44,477.81,489.67
Cabo Verde,670.67,782.9,955.16,710.05,778.02,770.37,553.47,664.87,727.58,778.99
